review_id,shop_id,shop_name,platform,category,city,district,user_id,username,user_level,vip_status,review_content,review_score,score_text,review_time,like_count,reply_count,order_type,dishes,images,sentiment_label,sentiment,absa_aspects,crawl_time
4215fd6dfa7262d9,S018,知味观（仁和路店）,meituan,小吃,杭州,上城区,U021,下班觅食,2,False,龙抄手的皮薄馅鲜，汤底清甜，红油钞手辣而不燥。价格亲民，来成都不打卡太可惜了！,5,口味5.0|环境4.0|服务4.3,2026-05-21 08:20:05,1,0,堂食,红油抄手|清汤抄手|赖汤圆,https://p0.meituan.net/food/sample_7302.jpg|https://p0.meituan.net/food/sample_3851.jpg|https://p0.meituan.net/food/sample_4551.jpg|https://p0.meituan.net/food/sample_6753.jpg,1,positive,"[{""aspect"": ""口味"", ""opinion"": ""鲜""}, {""aspect"": ""价格"", ""opinion"": ""亲民""}, {""aspect"": ""必打卡"", ""opinion"": ""是""}]",2026-05-21 10:00:05
faa54de9c553ee60,S017,楼外楼（孤山路旗舰店）,dianping,杭帮菜,杭州,西湖区,U027,寿司控阿强,6,True,排队一小时才进去，味道还可以但不算惊艳，东坡肉偏甜，对于口味偏清淡的北方人来说太甜了。,3,口味3.5|环境4.2|服务3.8,2026-05-21 02:12:05,0,0,堂食,东坡肉|龙井虾仁,https://p0.meituan.net/food/sample_1831.jpg|https://p0.meituan.net/food/sample_3478.jpg|https://p0.meituan.net/food/sample_9885.jpg,0,neutral,"[{""aspect"": ""等待"", ""opinion"": ""长""}, {""aspect"": ""口味"", ""opinion"": ""偏甜""}, {""aspect"": ""地域"", ""opinion"": ""口味差异""}]",2026-05-21 10:00:05
45076331ca6d4581,S019,新荣记（武林广场店）,dianping,台州菜,杭州,拱墅区,U020,美食博主小红,9,True,排队一小时才进去，味道还可以但不算惊艳，东坡肉偏甜，对于口味偏清淡的北方人来说太甜了。,3,口味3.5|环境4.2|服务3.8,2026-05-20 23:52:05,5,0,堂食,东坡肉|龙井虾仁,https://p0.meituan.net/food/sample_2515.jpg|https://p0.meituan.net/food/sample_4860.jpg|https://p0.meituan.net/food/sample_6018.jpg,0,neutral,"[{""aspect"": ""等待"", ""opinion"": ""长""}, {""aspect"": ""口味"", ""opinion"": ""偏甜""}, {""aspect"": ""地域"", ""opinion"": ""口味差异""}]",2026-05-21 10:00:05
e5df8e686d385219,S005,蜀大侠串串香（南京东路店）,meituan,串串香,上海,黄浦区,U015,杭州西湖边的鱼,6,False,夫妻肺片做得非常地道，花椒味十足，辣而不燥。服务员推荐了一道招牌干锅虾，果然没让我失望，下次还点！,5,口味5.0|环境4.0|服务4.5,2026-05-19 22:37:05,4,0,堂食,夫妻肺片|干锅虾,https://p0.meituan.net/food/sample_9888.jpg|https://p0.meituan.net/food/sample_8503.jpg|https://p0.meituan.net/food/sample_6561.jpg|https://p0.meituan.net/food/sample_5164.jpg|https://p0.meituan.net/food/sample_5342.jpg,1,positive,"[{""aspect"": ""口味"", ""opinion"": ""地道""}, {""aspect"": ""服务"", ""opinion"": ""推荐准确""}, {""aspect"": ""辣度"", ""opinion"": ""刚好""}]",2026-05-21 10:00:05
2d106934bfd6a934,S020,外婆家（西湖文化广场店）,meituan,杭帮菜,杭州,西湖区,U007,老饕食评人,9,True,排队一小时才进去，味道还可以但不算惊艳，东坡肉偏甜，对于口味偏清淡的北方人来说太甜了。,3,口味3.5|环境4.2|服务3.8,2026-05-19 15:03:05,1,0,堂食,东坡肉|龙井虾仁,https://p0.meituan.net/food/sample_9157.jpg|https://p0.meituan.net/food/sample_2873.jpg|https://p0.meituan.net/food/sample_1457.jpg|https://p0.meituan.net/food/sample_9617.jpg|https://p0.meituan.net/food/sample_4994.jpg,0,neutral,"[{""aspect"": ""等待"", ""opinion"": ""长""}, {""aspect"": ""口味"", ""opinion"": ""偏甜""}, {""aspect"": ""地域"", ""opinion"": ""口味差异""}]",2026-05-21 10:00:05
bda7c3646d32b249,S009,川渝人家正宗川菜（春熙路店）,meituan,川菜,成都,锦江区,U010,川渝食神,8,True,夜宵外卖选这家绝了！小龙虾辣度十足，虾肉饱满，份量够，凌晨1点还能送到，赞！,5,口味5.0|服务5.0,2026-05-19 11:44:05,4,0,外卖,麻辣小龙虾|烤串,https://p0.meituan.net/food/sample_5003.jpg|https://p0.meituan.net/food/sample_3053.jpg|https://p0.meituan.net/food/sample_3042.jpg,1,positive,"[{""aspect"": ""口味"", ""opinion"": ""十足""}, {""aspect"": ""配送"", ""opinion"": ""凌晨可送""}, {""aspect"": ""分量"", ""opinion"": ""够""}]",2026-05-21 10:00:05
6d2446c6899baa22,S018,知味观（仁和路店）,meituan,小吃,杭州,上城区,U021,下班觅食,2,False,生煎不新鲜，底部焦过头了，有点苦味，汁水也少，和网上说的相差太多，踩坑了。,2,口味2.0|环境3.8|服务3.5,2026-05-19 10:12:05,2,0,堂食,生煎包,,-1,negative,"[{""aspect"": ""新鲜度"", ""opinion"": ""不新鲜""}, {""aspect"": ""口感"", ""opinion"": ""苦""}, {""aspect"": ""汁水"", ""opinion"": ""少""}]",2026-05-21 10:00:05
0c4c2c5f6dc322ae,S002,老北京炸酱面馆（鼓楼店）,dianping,面食,北京,西城区,U013,二胖的食记本,5,False,环境不错，适合商务宴请，但菜价偏贵，性价比普通。味道中等偏上，服务还算专业。,3,口味3.8|环境4.5|服务4.2,2026-05-15 02:02:05,7,2,堂食,,,0,neutral,"[{""aspect"": ""环境"", ""opinion"": ""好""}, {""aspect"": ""价格"", ""opinion"": ""贵""}, {""aspect"": ""服务"", ""opinion"": ""专业""}]",2026-05-21 10:00:05
ab068f79fff2cf47,S007,小南国（南京西路旗舰店）,dianping,粤菜,上海,静安区,U020,美食博主小红,9,True,海鲜不新鲜，生蚝闻起来有味道，反映后服务员说正常，太气了。深圳来消费的不是来受气的。,1,口味1.5|服务1.5,2026-05-15 00:29:05,2,1,堂食,生蚝|皮皮虾,,-1,negative,"[{""aspect"": ""新鲜度"", ""opinion"": ""不新鲜""}, {""aspect"": ""服务态度"", ""opinion"": ""差""}, {""aspect"": ""投诉处理"", ""opinion"": ""差""}]",2026-05-21 10:00:05
e5a4a7ffdb751d01,S016,渔人码头海鲜大排档,dianping,海鲜,深圳,南山区,U021,下班觅食,2,False,海鲜超新鲜！皮皮虾肥美，蒜蓉蒸扇贝香而不腻，价格透明按斤算，老板实在，下次还来。,5,口味5.0|环境4.0|服务4.5,2026-05-14 22:36:05,3,0,堂食,皮皮虾|蒜蓉扇贝|白灼基围虾,https://p0.meituan.net/food/sample_3670.jpg|https://p0.meituan.net/food/sample_1357.jpg|https://p0.meituan.net/food/sample_1592.jpg|https://p0.meituan.net/food/sample_1816.jpg|https://p0.meituan.net/food/sample_2192.jpg,1,positive,"[{""aspect"": ""新鲜度"", ""opinion"": ""极新鲜""}, {""aspect"": ""价格"", ""opinion"": ""透明""}, {""aspect"": ""口味"", ""opinion"": ""鲜美""}]",2026-05-21 10:00:05
